accountId,Tagged,Upgraded
164041209,Y,Y
163561181,Y,Y
164024685,Y,Y
162927831,Y,Y
164024223,Y,Y
163544119,Y,Y
164045737,Y,Y
162418602,Y,Y
163928964,Y,Y
163214959,Y,N
163537584,Y,Y
163875184,Y,Y
163929957,Y,Y
162419849,Y,Y
552526513171,Y,N
154401608,Y,Y
552925579175,Y,Y
162416225,Y,Y
553226950740,Y,Y
163928664,Y,Y
163536727,Y,Y
163980264,Y,Y
162668548,Y,Y
162414360,Y,Y
161446701,Y,Y
162730341,Y,N
164067111,Y,N
162413392,Y,Y
163929510,Y,Y
153526468,Y,N
163877793,Y,Y
163542652,Y,Y
