accountId,Tagged,Upgraded
451325610005,N,N
458925001851,N,N
551526137433,Y,Y
552027299406,Y,N
552027403422,Y,N
552027430042,Y,N
552227258242,N,N
552227293014,Y,Y
552227372726,Y,Y
552427269038,Y,Y
552427277218,Y,Y
552427302994,Y,Y
552427415890,Y,N
552427426938,Y,Y
552427431006,Y,Y
552427433662,Y,Y
552627286610,Y,Y
552627338686,Y,Y
552627382666,N,N
552627427986,Y,N
552627429450,Y,Y
552827294358,Y,N
552827299950,Y,Y
552827336598,Y,Y
552827432298,Y,Y
553026894926,Y,Y
553026909594,Y,N
553026937000,Y,Y
553226911062,Y,Y
553226997690,N,N
553426566978,Y,N
553426862934,Y,Y
553626850462,Y,N
553626889806,Y,N
553626907250,Y,Y
553626914658,Y,N
553726071613,Y,N
553826892422,Y,Y
553826893146,Y,Y
553826902926,Y,Y
553826912082,Y,Y
553826922920,Y,Y
554027351338,N,N
554027381738,Y,Y
554027503582,Y,N
554027533104,Y,N
554226046242,Y,Y
554227345702,Y,Y
554227385130,Y,Y
554227388206,Y,Y
554227515158,Y,N
554426014542,Y,Y
554427352842,N,N
554427358004,Y,Y
554427396862,Y,Y
554627372774,Y,Y
554627375566,Y,Y
554627529198,Y,Y
554826006090,Y,Y
554827517950,N,N
554827521540,Y,Y
555026947098,N,N
555026962238,Y,Y
555026993098,Y,Y
555426959398,Y,Y
555626975250,N,N
555826987762,Y,Y
556026011382,Y,Y
556026077914,N,N
556026120678,Y,Y
556026123686,Y,N
556026128590,Y,N
556226137574,Y,Y
556226151112,Y,Y
556426133746,N,N
556426140038,Y,N
556426141830,Y,Y
556626119666,Y,N
556826109662,Y,N
556826116818,Y,Y
556826141658,Y,Y
553726303779,N,N
456925980489,N,N
554027549890,Y,N
556426030262,Y,Y
554827538370,Y,Y
552427392148,N,N
554427348428,N,N
456723718281,N,N
554426024062,Y,N
552627280550,Y,N
554427356730,Y,N
554427511818,Y,Y
556026122918,N,N
554426028626,N,N
556426126586,Y,N
552525884799,N,N
554027505930,Y,Y
555226986290,Y,Y
450525005043,N,N
556026093246,Y,N
554827541496,Y,N
555426694712,Y,N
555426694712,Y,N
